review_id,product_id,customer_id,review_text,star_rating,review_date
R5029,P1033,C2438,"Exceeded my expectations, arrived quickly too.",5,2025-05-05
R5030,P1015,C2010,Perfect fit and the material feels premium.,5,2025-04-03
R5031,P1124,C2217,"It's decent, does the job but nothing special.",3,2026-03-07
R5032,P1180,C2143,Solid build quality and looks even better in person.,4,2025-09-20
R5033,P1188,C2137,"Exceeded my expectations, arrived quickly too.",5,2026-01-03
R5034,P1180,C2217,Solid build quality and looks even better in person.,5,2025-05-14
R5035,P1082,C2140,Been using it for a few weeks now and no complaints at all.,5,2026-02-28
R5036,P1109,C2156,"Exceeded my expectations, arrived quickly too.",5,2025-06-15
R5037,P1153,C2029,Doesn't match the photos on the website at all.,1,2025-09-04
R5038,P1114,C2070,"Really happy with this purchase, works exactly as described.",5,2025-11-23
R5039,P1186,C2296,"Not worth the money, wouldn't recommend.",1,2025-06-29
R5040,P1110,C2410,"Really happy with this purchase, works exactly as described.",5,2026-03-10
R5041,P1021,C2235,Solid build quality and looks even better in person.,5,2025-09-13
R5042,P1118,C2176,Solid build quality and looks even better in person.,5,2025-09-15
R5043,P1011,C2389,"Great quality for the price, would buy again.",5,2026-03-20
R5044,P1005,C2417,"It's decent, does the job but nothing special.",3,2025-07-30
R5045,P1078,C2320,"Really happy with this purchase, works exactly as described.",5,2025-09-07
R5046,P1174,C2315,Doesn't match the photos on the website at all.,2,2025-11-05
R5047,P1054,C2421,"Exceeded my expectations, arrived quickly too.",4,2025-01-28
R5048,P1028,C2140,"Really happy with this purchase, works exactly as described.",4,2025-06-27
R5049,P1053,C2121,"Not bad, but I expected slightly better finishing.",3,2026-01-19
R5050,P1114,C2414,Good enough for occasional use.,3,2025-10-03
R5051,P1108,C2096,"Really happy with this purchase, works exactly as described.",4,2025-07-15
R5052,P1010,C2390,Solid build quality and looks even better in person.,4,2025-08-16
R5053,P1033,C2104,Good enough for occasional use.,3,2025-08-14
R5054,P1151,C2348,"Exceeded my expectations, arrived quickly too.",4,2025-02-02
R5055,P1056,C2307,Sizing was off compared to the size chart.,2,2025-10-29
R5056,P1039,C2391,Sizing was off compared to the size chart.,1,2026-04-20
R5057,P1167,C2294,"Exceeded my expectations, arrived quickly too.",5,2025-07-28
R5058,P1097,C2099,"Really happy with this purchase, works exactly as described.",5,2025-11-05
R5059,P1219,C2094,"Really happy with this purchase, works exactly as described.",5,2026-05-11
R5060,P1065,C2294,"Really happy with this purchase, works exactly as described.",4,2026-01-29
R5061,P1033,C2360,"Really happy with this purchase, works exactly as described.",5,2026-06-10
R5062,P1163,C2195,"It's decent, does the job but nothing special.",3,2025-09-09
R5063,P1082,C2254,Been using it for a few weeks now and no complaints at all.,5,2025-01-31
R5064,P1221,C2403,Sizing was off compared to the size chart.,2,2026-05-03
R5065,P1122,C2341,"Really happy with this purchase, works exactly as described.",5,2026-05-16
R5066,P1222,C2184,"Average quality, matches the price point.",3,2025-11-05
R5067,P1094,C2190,Perfect fit and the material feels premium.,4,2025-10-19
R5068,P1084,C2327,Perfect fit and the material feels premium.,4,2025-10-05
R5069,P1033,C2294,"It's decent, does the job but nothing special.",3,2026-01-29
R5070,P1067,C2065,"Great quality for the price, would buy again.",5,2025-09-09
R5071,P1023,C2117,Solid build quality and looks even better in person.,5,2026-06-30
R5072,P1196,C2360,"Exceeded my expectations, arrived quickly too.",4,2026-03-08
R5073,P1033,C2131,"Really happy with this purchase, works exactly as described.",5,2026-01-27
R5074,P1079,C2329,"Really happy with this purchase, works exactly as described.",5,2026-04-14
R5075,P1023,C2117,Been using it for a few weeks now and no complaints at all.,4,2026-06-30
R5076,P1095,C2356,Perfect fit and the material feels premium.,5,2026-04-22
R5077,P1138,C2264,Doesn't match the photos on the website at all.,1,2025-10-24
R5078,P1149,C2142,Perfect fit and the material feels premium.,4,2025-07-13
R5079,P1109,C2225,Solid build quality and looks even better in person.,4,2025-12-20
R5080,P1146,C2132,Sizing was off compared to the size chart.,1,2025-02-17
R5081,P1198,C2219,Been using it for a few weeks now and no complaints at all.,5,2026-03-07
R5082,P1207,C2330,"Works fine so far, will update if anything changes.",3,2026-04-25
R5083,P1204,C2291,"It's decent, does the job but nothing special.",3,2025-11-26
R5084,P1039,C2389,"Really happy with this purchase, works exactly as described.",5,2025-09-13
R5085,P1204,C2031,Good enough for occasional use.,3,2025-07-17
R5086,P1044,C2268,"Not bad, but I expected slightly better finishing.",3,2025-02-12
R5087,P1183,C2052,Been using it for a few weeks now and no complaints at all.,5,2025-07-19
R5088,P1060,C2392,"Not worth the money, wouldn't recommend.",2,2025-04-25
R5089,P1181,C2360,Perfect fit and the material feels premium.,4,2025-02-05
R5090,P1222,C2296,Doesn't match the photos on the website at all.,1,2026-05-13
R5091,P1056,C2269,Perfect fit and the material feels premium.,4,2025-10-21
R5092,P1026,C2034,"Really happy with this purchase, works exactly as described.",5,2025-02-09
R5093,P1146,C2357,Solid build quality and looks even better in person.,4,2025-02-27
R5094,P1098,C2133,Sizing was off compared to the size chart.,2,2025-07-04
R5095,P1082,C2281,Good enough for occasional use.,3,2025-11-03
R5096,P1013,C2142,"Exceeded my expectations, arrived quickly too.",5,2026-02-07
R5097,P1104,C2439,"Works fine so far, will update if anything changes.",3,2026-04-24
R5098,P1138,C2008,Perfect fit and the material feels premium.,5,2025-04-27
R5099,P1080,C2381,Stopped working within a week of regular use.,2,2025-11-25
R5100,P1006,C2273,Sizing was off compared to the size chart.,1,2025-04-22
R5101,P1169,C2304,"Really happy with this purchase, works exactly as described.",4,2025-03-04
R5102,P1194,C2178,Been using it for a few weeks now and no complaints at all.,4,2025-03-26
R5103,P1149,C2142,Been using it for a few weeks now and no complaints at all.,4,2025-07-10
R5104,P1176,C2084,"Great quality for the price, would buy again.",4,2025-05-03
R5105,P1053,C2075,"It's decent, does the job but nothing special.",3,2025-04-19
R5106,P1064,C2038,Been using it for a few weeks now and no complaints at all.,5,2025-12-16
R5107,P1136,C2322,Solid build quality and looks even better in person.,4,2026-06-08
R5108,P1194,C2302,"Really happy with this purchase, works exactly as described.",4,2025-01-19
R5109,P1196,C2324,Perfect fit and the material feels premium.,4,2026-06-11
R5110,P1139,C2185,Been using it for a few weeks now and no complaints at all.,5,2026-06-30
R5111,P1182,C2326,"Works fine so far, will update if anything changes.",3,2025-04-23
R5112,P1052,C2254,Perfect fit and the material feels premium.,4,2025-03-08
R5113,P1092,C2013,Solid build quality and looks even better in person.,4,2026-05-09
R5114,P1020,C2261,Solid build quality and looks even better in person.,4,2025-04-24
R5115,P1013,C2432,Perfect fit and the material feels premium.,5,2025-10-29
R5116,P1143,C2216,Solid build quality and looks even better in person.,5,2025-01-30
R5117,P1167,C2074,Been using it for a few weeks now and no complaints at all.,5,2025-08-12
R5118,P1145,C2296,"Great quality for the price, would buy again.",5,2025-11-16
R5119,P1074,C2204,"Great quality for the price, would buy again.",5,2026-01-03
R5120,P1144,C2123,"Great quality for the price, would buy again.",5,2026-02-17
R5121,P1073,C2177,"Really happy with this purchase, works exactly as described.",4,2025-11-04
R5122,P1175,C2238,Solid build quality and looks even better in person.,5,2025-11-20
R5123,P1061,C2254,"Really happy with this purchase, works exactly as described.",5,2025-11-25
R5124,P1119,C2002,Perfect fit and the material feels premium.,4,2026-02-28
R5125,P1109,C2274,"Great quality for the price, would buy again.",4,2025-11-07
R5126,P1028,C2262,"Exceeded my expectations, arrived quickly too.",5,2026-03-29
R5127,P1020,C2117,"Great quality for the price, would buy again.",4,2025-11-07
R5128,P1215,C2431,Been using it for a few weeks now and no complaints at all.,4,2025-11-04
R5129,P1198,C2143,"Works fine so far, will update if anything changes.",3,2025-11-14
R5130,P1132,C2223,Been using it for a few weeks now and no complaints at all.,5,2025-08-06
R5131,P1034,C2111,"Average quality, matches the price point.",3,2025-09-24
R5132,P1040,C2197,"It's decent, does the job but nothing special.",3,2025-08-30
R5133,P1052,C2211,Been using it for a few weeks now and no complaints at all.,5,2025-08-26
R5134,P1109,C2223,Solid build quality and looks even better in person.,5,2025-03-04
R5135,P1096,C2374,Stopped working within a week of regular use.,1,2025-12-03
R5136,P1010,C2043,Good enough for occasional use.,3,2026-02-09
R5137,P1097,C2203,"Great quality for the price, would buy again.",4,2026-04-14
R5138,P1054,C2208,"Great quality for the price, would buy again.",4,2026-03-23
R5139,P1202,C2407,"Really happy with this purchase, works exactly as described.",5,2025-03-21
R5140,P1129,C2379,Perfect fit and the material feels premium.,4,2025-06-25
R5141,P1027,C2055,Packaging was poor and the item arrived slightly damaged.,1,2025-12-17
R5142,P1207,C2292,"Really happy with this purchase, works exactly as described.",5,2025-08-24
R5143,P1103,C2195,Doesn't match the photos on the website at all.,2,2026-03-04
R5144,P1163,C2175,Solid build quality and looks even better in person.,5,2026-04-29
R5145,P1168,C2381,Perfect fit and the material feels premium.,5,2026-03-03
R5146,P1112,C2303,Been using it for a few weeks now and no complaints at all.,4,2026-03-19
R5147,P1015,C2343,Doesn't match the photos on the website at all.,2,2025-07-05
R5148,P1125,C2077,"Not bad, but I expected slightly better finishing.",3,2026-05-28
R5149,P1197,C2356,"Great quality for the price, would buy again.",5,2025-09-04
R5150,P1010,C2307,"Average quality, matches the price point.",3,2026-06-30
R5151,P1048,C2290,Perfect fit and the material feels premium.,5,2025-12-08
R5152,P1177,C2004,"Exceeded my expectations, arrived quickly too.",5,2026-05-17
R5153,P1094,C2190,"Really happy with this purchase, works exactly as described.",4,2025-11-01
R5154,P1077,C2259,Been using it for a few weeks now and no complaints at all.,5,2025-07-11
R5155,P1038,C2065,Perfect fit and the material feels premium.,5,2026-02-05
R5156,P1215,C2164,"Average quality, matches the price point.",3,2025-07-20
R5157,P1125,C2428,Doesn't match the photos on the website at all.,1,2026-04-30
R5158,P1215,C2065,"Not bad, but I expected slightly better finishing.",3,2025-01-31
R5159,P1166,C2089,Perfect fit and the material feels premium.,5,2025-10-25
R5160,P1147,C2040,"Average quality, matches the price point.",3,2025-06-10
R5161,P1022,C2346,"Great quality for the price, would buy again.",5,2026-02-28
R5162,P1029,C2202,Perfect fit and the material feels premium.,4,2026-06-21
R5163,P1112,C2303,"Works fine so far, will update if anything changes.",3,2026-03-08
R5164,P1099,C2328,Perfect fit and the material feels premium.,5,2025-03-13
R5165,P1060,C2025,"Average quality, matches the price point.",3,2025-03-02
R5166,P1013,C2340,Been using it for a few weeks now and no complaints at all.,4,2026-02-19
R5167,P1175,C2093,"Really happy with this purchase, works exactly as described.",4,2025-04-23
R5168,P1163,C2229,"Great quality for the price, would buy again.",5,2026-05-23
R5169,P1079,C2059,"Disappointed with the quality, expected better for this price.",1,2025-09-06
R5170,P1164,C2370,Been using it for a few weeks now and no complaints at all.,4,2025-04-28
R5171,P1175,C2238,"Great quality for the price, would buy again.",4,2025-11-20
R5172,P1003,C2445,"Great quality for the price, would buy again.",4,2026-05-15
R5173,P1117,C2395,Perfect fit and the material feels premium.,4,2026-06-03
R5174,P1129,C2292,"Not bad, but I expected slightly better finishing.",3,2025-09-13
R5175,P1145,C2090,Solid build quality and looks even better in person.,5,2026-06-25
R5176,P1079,C2329,Good enough for occasional use.,3,2026-05-04
R5177,P1143,C2184,"Great quality for the price, would buy again.",5,2026-03-11
R5178,P1090,C2326,"Exceeded my expectations, arrived quickly too.",5,2025-08-02
R5179,P1222,C2354,Been using it for a few weeks now and no complaints at all.,5,2025-11-24
R5180,P1073,C2156,"Really happy with this purchase, works exactly as described.",4,2026-06-08
R5181,P1154,C2236,"Exceeded my expectations, arrived quickly too.",4,2025-12-01
R5182,P1175,C2238,"It's decent, does the job but nothing special.",3,2025-11-02
R5183,P1010,C2000,"Average quality, matches the price point.",3,2025-10-18
R5184,P1164,C2292,"Exceeded my expectations, arrived quickly too.",4,2025-03-05
R5185,P1016,C2192,"Great quality for the price, would buy again.",5,2025-12-26
R5186,P1222,C2296,Doesn't match the photos on the website at all.,2,2026-05-14
R5187,P1198,C2111,"Great quality for the price, would buy again.",5,2025-05-26
R5188,P1214,C2264,"It's decent, does the job but nothing special.",3,2025-04-25
R5189,P1108,C2196,"Really happy with this purchase, works exactly as described.",5,2025-09-23
R5190,P1213,C2383,Solid build quality and looks even better in person.,4,2025-11-14
R5191,P1036,C2125,"Really happy with this purchase, works exactly as described.",5,2025-08-18
R5192,P1163,C2229,"Great quality for the price, would buy again.",4,2026-05-24
R5193,P1181,C2323,Good enough for occasional use.,3,2025-06-24
R5194,P1067,C2032,"Really happy with this purchase, works exactly as described.",4,2025-01-19
R5195,P1122,C2233,Good enough for occasional use.,3,2025-07-08
R5196,P1129,C2248,"It's decent, does the job but nothing special.",3,2025-05-24
R5197,P1137,C2049,"It's decent, does the job but nothing special.",3,2026-04-14
R5198,P1125,C2207,Been using it for a few weeks now and no complaints at all.,4,2025-06-25
R5199,P1074,C2407,"Really happy with this purchase, works exactly as described.",4,2025-05-26
R5200,P1073,C2177,Perfect fit and the material feels premium.,4,2025-11-16
R5201,P1114,C2276,Solid build quality and looks even better in person.,4,2025-02-23
R5202,P1016,C2102,Good enough for occasional use.,3,2025-08-01
R5203,P1055,C2027,"Really happy with this purchase, works exactly as described.",4,2026-03-31
R5204,P1176,C2382,"Exceeded my expectations, arrived quickly too.",5,2026-05-11
R5205,P1116,C2440,"Great quality for the price, would buy again.",5,2025-08-23
R5206,P1181,C2083,"Works fine so far, will update if anything changes.",3,2025-05-29
R5207,P1176,C2061,Solid build quality and looks even better in person.,4,2025-06-18
R5208,P1065,C2114,"Really happy with this purchase, works exactly as described.",5,2025-12-09
R5209,P1073,C2177,Solid build quality and looks even better in person.,5,2025-11-11
R5210,P1111,C2134,"Great quality for the price, would buy again.",4,2025-09-23
R5211,P1204,C2200,"Really happy with this purchase, works exactly as described.",4,2025-11-21
R5212,P1080,C2239,Solid build quality and looks even better in person.,4,2025-08-11
R5213,P1216,C2184,"Exceeded my expectations, arrived quickly too.",4,2025-11-18
R5214,P1184,C2276,"Exceeded my expectations, arrived quickly too.",5,2025-09-24
R5215,P1054,C2247,Stopped working within a week of regular use.,1,2025-12-25
R5216,P1134,C2160,"Exceeded my expectations, arrived quickly too.",4,2026-01-23
R5217,P1110,C2410,Good enough for occasional use.,3,2026-03-20
R5218,P1216,C2070,Solid build quality and looks even better in person.,4,2025-08-30
R5219,P1161,C2302,Stopped working within a week of regular use.,1,2025-07-06
R5220,P1008,C2215,Solid build quality and looks even better in person.,5,2026-01-08
R5221,P1015,C2416,"Great quality for the price, would buy again.",5,2025-05-14
R5222,P1104,C2206,Perfect fit and the material feels premium.,5,2025-01-20
R5223,P1182,C2326,Perfect fit and the material feels premium.,4,2025-05-09
R5224,P1079,C2090,Been using it for a few weeks now and no complaints at all.,5,2025-03-20
R5225,P1049,C2033,Solid build quality and looks even better in person.,5,2026-04-19
R5226,P1108,C2060,Been using it for a few weeks now and no complaints at all.,5,2026-06-12
R5227,P1099,C2058,Been using it for a few weeks now and no complaints at all.,5,2025-10-20
R5228,P1078,C2130,Perfect fit and the material feels premium.,5,2025-09-07
R5229,P1017,C2022,Doesn't match the photos on the website at all.,2,2025-01-29
R5230,P1051,C2292,Doesn't match the photos on the website at all.,1,2026-06-30
R5231,P1097,C2075,Solid build quality and looks even better in person.,5,2026-03-24
R5232,P1129,C2052,Solid build quality and looks even better in person.,4,2026-06-06
R5233,P1126,C2335,Perfect fit and the material feels premium.,4,2025-04-09
R5234,P1221,C2073,"Great quality for the price, would buy again.",5,2025-10-17
R5235,P1220,C2109,Been using it for a few weeks now and no complaints at all.,5,2025-09-16
R5236,P1025,C2265,"Really happy with this purchase, works exactly as described.",4,2025-09-19
R5237,P1139,C2316,Solid build quality and looks even better in person.,4,2025-03-08
R5238,P1013,C2432,"Really happy with this purchase, works exactly as described.",5,2025-11-17
R5239,P1157,C2089,"It's decent, does the job but nothing special.",3,2025-07-16
R5240,P1012,C2269,Perfect fit and the material feels premium.,4,2025-03-08
R5241,P1109,C2274,"Really happy with this purchase, works exactly as described.",4,2025-10-26
R5242,P1134,C2415,"Disappointed with the quality, expected better for this price.",2,2025-05-11
R5243,P1162,C2311,Solid build quality and looks even better in person.,4,2025-07-11
R5244,P1084,C2402,Packaging was poor and the item arrived slightly damaged.,1,2026-06-30
R5245,P1003,C2223,Been using it for a few weeks now and no complaints at all.,5,2025-06-10
R5246,P1013,C2323,"Disappointed with the quality, expected better for this price.",2,2025-07-24
R5247,P1029,C2202,"Exceeded my expectations, arrived quickly too.",4,2026-06-22
R5248,P1114,C2324,Solid build quality and looks even better in person.,5,2025-03-02
R5249,P1193,C2382,Sizing was off compared to the size chart.,2,2025-03-13
R5250,P1206,C2104,"Exceeded my expectations, arrived quickly too.",5,2026-02-09
R5251,P1116,C2063,Good enough for occasional use.,3,2025-12-05
R5252,P1083,C2414,"Really happy with this purchase, works exactly as described.",5,2025-07-28
R5253,P1015,C2301,"Really happy with this purchase, works exactly as described.",5,2026-01-29
R5254,P1031,C2389,Perfect fit and the material feels premium.,5,2025-08-01
R5255,P1003,C2158,"Exceeded my expectations, arrived quickly too.",4,2025-10-27
R5256,P1072,C2091,"Really happy with this purchase, works exactly as described.",5,2025-12-03
R5257,P1100,C2152,Perfect fit and the material feels premium.,5,2025-06-25
R5258,P1129,C2292,Solid build quality and looks even better in person.,4,2025-08-27
R5259,P1110,C2324,Packaging was poor and the item arrived slightly damaged.,2,2026-06-03
R5260,P1017,C2214,Been using it for a few weeks now and no complaints at all.,5,2026-05-20
R5261,P1087,C2402,Solid build quality and looks even better in person.,5,2025-03-06
R5262,P1059,C2428,Been using it for a few weeks now and no complaints at all.,5,2025-12-03
R5263,P1031,C2389,"Not bad, but I expected slightly better finishing.",3,2025-08-01
R5264,P1090,C2248,"Great quality for the price, would buy again.",5,2026-04-11
R5265,P1022,C2035,"Really happy with this purchase, works exactly as described.",5,2026-02-28
R5266,P1071,C2159,"Really happy with this purchase, works exactly as described.",4,2025-05-25
R5267,P1117,C2049,"Really happy with this purchase, works exactly as described.",5,2026-05-01
R5268,P1169,C2091,"Really happy with this purchase, works exactly as described.",4,2025-02-17
R5269,P1038,C2189,Solid build quality and looks even better in person.,5,2026-01-02
R5270,P1029,C2209,Doesn't match the photos on the website at all.,1,2025-11-23
R5271,P1102,C2093,Sizing was off compared to the size chart.,2,2026-06-18
R5272,P1026,C2085,Perfect fit and the material feels premium.,4,2025-06-14
R5273,P1113,C2412,"Great quality for the price, would buy again.",4,2025-02-17
R5274,P1040,C2197,Solid build quality and looks even better in person.,5,2025-08-22
R5275,P1047,C2164,Sizing was off compared to the size chart.,2,2025-01-10
R5276,P1154,C2127,Perfect fit and the material feels premium.,5,2025-07-17
R5277,P1042,C2435,Solid build quality and looks even better in person.,5,2025-09-21
R5278,P1147,C2298,Been using it for a few weeks now and no complaints at all.,4,2026-03-29
R5279,P1181,C2242,"It's decent, does the job but nothing special.",3,2025-04-27
R5280,P1150,C2114,Solid build quality and looks even better in person.,4,2025-12-20
R5281,P1206,C2205,"Great quality for the price, would buy again.",5,2025-04-11
R5282,P1043,C2253,Been using it for a few weeks now and no complaints at all.,4,2026-05-27
R5283,P1150,C2114,Perfect fit and the material feels premium.,4,2025-12-21
R5284,P1038,C2348,Solid build quality and looks even better in person.,5,2025-06-20
R5285,P1028,C2140,Solid build quality and looks even better in person.,4,2025-06-20
R5286,P1156,C2302,"Average quality, matches the price point.",3,2025-02-23
R5287,P1151,C2206,Good enough for occasional use.,3,2026-02-12
R5288,P1198,C2130,"It's decent, does the job but nothing special.",3,2025-12-29
R5289,P1054,C2257,Been using it for a few weeks now and no complaints at all.,5,2026-06-30
R5290,P1146,C2209,Stopped working within a week of regular use.,1,2026-04-27
R5291,P1206,C2290,"Great quality for the price, would buy again.",5,2026-03-23
R5292,P1200,C2270,Solid build quality and looks even better in person.,4,2026-03-28
R5293,P1222,C2026,Been using it for a few weeks now and no complaints at all.,4,2025-05-19
R5294,P1139,C2168,"Disappointed with the quality, expected better for this price.",2,2025-01-20
R5295,P1198,C2111,"Not bad, but I expected slightly better finishing.",3,2025-05-28
R5296,P1089,C2295,"Really happy with this purchase, works exactly as described.",4,2026-03-05
R5297,P1022,C2069,Solid build quality and looks even better in person.,4,2026-03-31
R5298,P1054,C2208,"Great quality for the price, would buy again.",4,2026-03-30
R5299,P1176,C2298,Solid build quality and looks even better in person.,4,2025-04-02
R5300,P1067,C2065,"Really happy with this purchase, works exactly as described.",5,2025-08-31
R5301,P1145,C2090,"Exceeded my expectations, arrived quickly too.",5,2026-06-30
R5302,P1077,C2357,"Great quality for the price, would buy again.",5,2026-01-07
R5303,P1106,C2211,Packaging was poor and the item arrived slightly damaged.,2,2025-10-24
R5304,P1205,C2131,Perfect fit and the material feels premium.,5,2025-09-16
R5305,P1006,C2136,"Exceeded my expectations, arrived quickly too.",5,2025-02-10
R5306,P1175,C2234,"Really happy with this purchase, works exactly as described.",4,2025-02-14
R5307,P1203,C2380,"Not worth the money, wouldn't recommend.",2,2026-06-30
R5308,P1138,C2442,"Really happy with this purchase, works exactly as described.",5,2026-05-03
R5309,P1077,C2360,Solid build quality and looks even better in person.,4,2026-05-04
R5310,P1076,C2042,Packaging was poor and the item arrived slightly damaged.,1,2026-06-30
R5311,P1204,C2237,Solid build quality and looks even better in person.,5,2025-05-03
R5312,P1083,C2414,Perfect fit and the material feels premium.,4,2025-07-31
R5313,P1065,C2434,Perfect fit and the material feels premium.,5,2026-01-10
R5314,P1005,C2377,Packaging was poor and the item arrived slightly damaged.,2,2025-11-28
R5315,P1033,C2438,Perfect fit and the material feels premium.,4,2025-04-28
R5316,P1191,C2154,Been using it for a few weeks now and no complaints at all.,5,2025-11-01
R5317,P1059,C2035,"Exceeded my expectations, arrived quickly too.",4,2025-05-27
R5318,P1118,C2409,"Great quality for the price, would buy again.",5,2025-05-07
R5319,P1007,C2413,Been using it for a few weeks now and no complaints at all.,5,2025-12-18
R5320,P1099,C2035,"Great quality for the price, would buy again.",5,2025-09-25
R5321,P1062,C2233,Solid build quality and looks even better in person.,5,2026-01-28
R5322,P1156,C2181,Perfect fit and the material feels premium.,5,2025-03-12
R5323,P1176,C2061,"Great quality for the price, would buy again.",5,2025-06-18
R5324,P1170,C2118,Perfect fit and the material feels premium.,4,2025-06-01
R5325,P1183,C2052,Been using it for a few weeks now and no complaints at all.,5,2025-07-08
R5326,P1091,C2164,Been using it for a few weeks now and no complaints at all.,5,2026-06-19
R5327,P1060,C2272,"Not worth the money, wouldn't recommend.",1,2026-02-16
R5328,P1202,C2219,Been using it for a few weeks now and no complaints at all.,4,2025-06-27
R5329,P1157,C2070,"Great quality for the price, would buy again.",5,2025-04-16
R5330,P1189,C2331,Solid build quality and looks even better in person.,4,2025-04-08
R5331,P1144,C2164,Been using it for a few weeks now and no complaints at all.,4,2026-02-20
R5332,P1176,C2349,"Exceeded my expectations, arrived quickly too.",4,2026-05-31
R5333,P1071,C2044,Solid build quality and looks even better in person.,4,2026-01-26
R5334,P1184,C2283,"It's decent, does the job but nothing special.",3,2025-09-28
R5335,P1196,C2109,"Exceeded my expectations, arrived quickly too.",5,2025-07-15
R5336,P1003,C2158,Been using it for a few weeks now and no complaints at all.,5,2025-11-07
R5337,P1046,C2236,Solid build quality and looks even better in person.,5,2026-02-16
R5338,P1093,C2382,Good enough for occasional use.,3,2025-11-09
R5339,P1221,C2413,Solid build quality and looks even better in person.,5,2026-03-24
R5340,P1112,C2438,"Great quality for the price, would buy again.",4,2025-08-25
R5341,P1118,C2256,"Really happy with this purchase, works exactly as described.",4,2025-01-27
R5342,P1021,C2189,Been using it for a few weeks now and no complaints at all.,4,2026-02-18
R5343,P1024,C2178,"It's decent, does the job but nothing special.",3,2025-11-13
R5344,P1101,C2124,"Disappointed with the quality, expected better for this price.",1,2026-03-30
R5345,P1187,C2113,"It's decent, does the job but nothing special.",3,2025-06-23
R5346,P1067,C2292,Doesn't match the photos on the website at all.,2,2026-06-27
R5347,P1022,C2303,Been using it for a few weeks now and no complaints at all.,4,2025-03-31
R5348,P1075,C2448,Been using it for a few weeks now and no complaints at all.,5,2026-05-31
R5349,P1067,C2258,Been using it for a few weeks now and no complaints at all.,4,2025-02-09
R5350,P1196,C2250,Stopped working within a week of regular use.,2,2025-04-22
R5351,P1188,C2051,Been using it for a few weeks now and no complaints at all.,4,2025-07-22
R5352,P1194,C2297,"Not bad, but I expected slightly better finishing.",3,2025-01-12
R5353,P1099,C2310,"Average quality, matches the price point.",3,2026-01-27
R5354,P1135,C2089,Solid build quality and looks even better in person.,4,2025-12-02
R5355,P1048,C2115,"Great quality for the price, would buy again.",5,2025-01-19
R5356,P1011,C2270,"Works fine so far, will update if anything changes.",3,2025-11-24
R5357,P1148,C2335,Solid build quality and looks even better in person.,5,2025-11-12
R5358,P1115,C2434,"Really happy with this purchase, works exactly as described.",4,2025-04-16
R5359,P1046,C2395,Stopped working within a week of regular use.,1,2026-04-27
R5360,P1063,C2123,Solid build quality and looks even better in person.,5,2025-04-05
R5361,P1063,C2334,"Great quality for the price, would buy again.",5,2025-10-25
R5362,P1011,C2270,Been using it for a few weeks now and no complaints at all.,4,2025-01-30
R5363,P1175,C2062,"Not bad, but I expected slightly better finishing.",3,2026-06-14
R5364,P1148,C2194,Been using it for a few weeks now and no complaints at all.,5,2025-11-24
R5365,P1181,C2323,"It's decent, does the job but nothing special.",3,2025-06-23
R5366,P1144,C2387,Stopped working within a week of regular use.,2,2026-03-12
R5367,P1166,C2356,"Exceeded my expectations, arrived quickly too.",4,2026-01-31
