ticket_id,customer_id,order_id,message_text,channel,timestamp,resolution_status
T7107,C2229,O10978,"I lost my invoice, can I still claim warranty on order O10978?",email,2025-06-14 10:01:00,Escalated
T7108,C2231,O10779,I returned an item two weeks ago and still haven't received my refund. Order O10779.,phone-transcribed,2026-06-29 19:40:00,Resolved
T7109,C2236,O11250,"I was charged twice for order O11250, please refund the extra charge.",chat,2026-06-19 21:39:00,Resolved
T7110,C2223,O11018,My payment failed but the amount was deducted from my account. Order O11018 shows as unpaid.,email,2025-07-01 13:33:00,Resolved
T7111,C2252,O10078,Can I change the delivery address for order O10078? It hasn't shipped yet.,email,2025-08-19 14:41:00,Open
T7112,C2320,O10486,My order O10486 shows delivered but I never received it.,chat,2026-05-26 08:42:00,Escalated
T7113,C2184,O10799,My order O10799 shows delivered but I never received it.,email,2025-01-04 18:29:00,Resolved
T7114,C2015,O10572,Is the smartwatch compatible with international chargers?,email,2025-10-09 21:23:00,Resolved
T7115,C2093,,How do I use my loyalty points on my next purchase?,email,2025-05-11 10:22:00,Resolved
T7116,C2313,O10380,I returned an item two weeks ago and still haven't received my refund. Order O10380.,email,2025-04-03 18:34:00,Escalated
T7117,C2433,O10801,I returned an item two weeks ago and still haven't received my refund. Order O10801.,phone-transcribed,2025-11-30 16:57:00,Escalated
T7118,C2052,O10829,"My product from order O10829 stopped working, is it still under warranty?",chat,2025-06-05 18:58:00,Resolved
T7119,C2272,O10691,My order O10691 shows delivered but I never received it.,chat,2025-01-13 14:10:00,Escalated
T7120,C2087,O11206,"I lost my invoice, can I still claim warranty on order O11206?",phone-transcribed,2025-05-21 13:33:00,Resolved
T7121,C2351,O10209,"My product from order O10209 stopped working, is it still under warranty?",phone-transcribed,2026-05-01 09:35:00,Resolved
T7122,C2189,O10052,"My product from order O10052 stopped working, is it still under warranty?",email,2026-01-26 21:35:00,Resolved
T7123,C2312,O10998,"My product from order O10998 stopped working, is it still under warranty?",email,2026-01-07 08:12:00,Resolved
T7124,C2319,O11383,Can you tell me the current status of order O11383? Tracking hasn't updated in 3 days.,phone-transcribed,2025-04-08 15:38:00,Resolved
T7125,C2024,O11068,How do I initiate a return for O11068? It arrived damaged.,email,2026-05-26 20:02:00,Open
T7126,C2186,O10807,How do I initiate a return for O10807? It arrived damaged.,chat,2025-03-01 15:06:00,Resolved
T7127,C2167,O10219,How do I initiate a return for O10219? It arrived damaged.,email,2025-08-16 17:56:00,Open
T7128,C2214,O11490,"I was charged twice for order O11490, please refund the extra charge.",chat,2026-01-05 15:54:00,Resolved
T7129,C2008,O10306,Does this product come in a larger size? I'm considering ordering it.,chat,2026-04-07 08:49:00,Resolved
T7130,C2233,O11260,"I lost my invoice, can I still claim warranty on order O11260?",email,2026-04-01 15:35:00,Open
T7131,C2375,O10269,This is the third time I've contacted support about order O10269 and no one has resolved it. Extremely frustrated.,chat,2026-02-25 10:15:00,Escalated
T7132,C2269,O10713,My payment failed but the amount was deducted from my account. Order O10713 shows as unpaid.,chat,2025-01-13 13:35:00,Escalated
T7133,C2414,O10876,My order O10876 shows delivered but I never received it.,chat,2025-02-25 21:49:00,Resolved
T7134,C2212,O10921,My order O10921 shows delivered but I never received it.,chat,2025-03-21 10:31:00,Escalated
T7135,C2261,O11370,"My product from order O11370 stopped working, is it still under warranty?",email,2025-06-10 19:37:00,Resolved
T7136,C2186,O10649,My order O10649 shows delivered but I never received it.,chat,2026-05-01 12:39:00,Escalated
T7137,C2042,O11419,My order O11419 shows delivered but I never received it.,phone-transcribed,2026-02-18 10:59:00,Escalated
T7138,C2020,O10628,Where is my order? It was supposed to arrive by now and I haven't gotten any updates.,email,2026-03-22 18:56:00,Resolved
T7139,C2121,O11316,"I want to return my order O11316, the item doesn't fit properly.",email,2026-01-21 09:13:00,Open
T7140,C2174,O10069,"I was charged twice for order O10069, please refund the extra charge.",email,2025-04-25 16:47:00,Open
T7141,C2051,O10621,I returned an item two weeks ago and still haven't received my refund. Order O10621.,phone-transcribed,2026-06-22 17:24:00,Resolved
T7142,C2317,O11004,Can I change the delivery address for order O11004? It hasn't shipped yet.,chat,2026-05-22 11:27:00,Resolved
T7143,C2326,O10903,My order O10903 shows delivered but I never received it.,email,2025-04-11 19:00:00,Open
T7144,C2433,O11441,My payment failed but the amount was deducted from my account. Order O11441 shows as unpaid.,phone-transcribed,2025-02-17 11:04:00,Resolved
T7145,C2412,O10354,This is the third time I've contacted support about order O10354 and no one has resolved it. Extremely frustrated.,email,2025-10-18 21:04:00,Open
T7146,C2310,O11321,"I want to return my order O11321, the item doesn't fit properly.",email,2026-06-11 09:03:00,Resolved
T7147,C2004,O10501,How do I use my loyalty points on my next purchase?,chat,2025-03-04 11:45:00,Resolved
T7148,C2176,,Where is my order? It was supposed to arrive by now and I haven't gotten any updates.,chat,2026-02-10 09:42:00,Resolved
T7149,C2402,O10716,"I want to return my order O10716, the item doesn't fit properly.",chat,2026-05-22 19:23:00,Resolved
T7150,C2136,O10277,"I was charged twice for order O10277, please refund the extra charge.",chat,2025-10-22 08:20:00,Open
T7151,C2046,O11371,My payment failed but the amount was deducted from my account. Order O11371 shows as unpaid.,chat,2025-02-27 16:15:00,Escalated
T7152,C2200,,Where is my order? It was supposed to arrive by now and I haven't gotten any updates.,email,2025-03-03 18:30:00,Open
T7153,C2234,O10907,Is the smartwatch compatible with international chargers?,phone-transcribed,2025-10-29 17:11:00,Escalated
T7154,C2014,O10372,"My product from order O10372 stopped working, is it still under warranty?",chat,2025-06-10 17:13:00,Resolved
T7155,C2087,O10874,Can you tell me the current status of order O10874? Tracking hasn't updated in 3 days.,email,2026-03-25 09:40:00,Resolved
T7156,C2283,O10294,My payment failed but the amount was deducted from my account. Order O10294 shows as unpaid.,phone-transcribed,2026-04-03 18:23:00,Escalated
T7157,C2125,O11182,My order O11182 shows delivered but I never received it.,chat,2026-05-19 12:26:00,Open
T7158,C2371,,Is the running shoes compatible with international chargers?,chat,2025-11-08 12:15:00,Escalated
T7159,C2292,O10534,"My product from order O10534 stopped working, is it still under warranty?",email,2026-06-01 17:45:00,Resolved
T7160,C2092,,How do I use my loyalty points on my next purchase?,chat,2025-10-22 10:28:00,Open
T7161,C2028,O10504,"My product from order O10504 stopped working, is it still under warranty?",email,2025-11-17 19:07:00,Resolved
T7162,C2362,,How do I use my loyalty points on my next purchase?,email,2026-04-27 16:15:00,Open
T7163,C2014,O11382,My order O11382 shows delivered but I never received it.,chat,2026-03-31 14:46:00,Escalated
T7164,C2441,,Where is my order? It was supposed to arrive by now and I haven't gotten any updates.,chat,2025-08-22 12:48:00,Resolved
T7165,C2310,O11404,My order O11404 shows delivered but I never received it.,email,2025-06-21 21:36:00,Resolved
T7166,C2350,O11419,How do I initiate a return for O11419? It arrived damaged.,email,2026-03-29 10:15:00,Resolved
T7167,C2201,O10082,How do I use my loyalty points on my next purchase?,chat,2025-06-10 11:59:00,Resolved
T7168,C2041,O11172,This is the third time I've contacted support about order O11172 and no one has resolved it. Extremely frustrated.,chat,2026-01-06 13:53:00,Escalated
T7169,C2107,O11490,This is the third time I've contacted support about order O11490 and no one has resolved it. Extremely frustrated.,chat,2026-05-11 18:36:00,Open
T7170,C2373,,Does this product come in a larger size? I'm considering ordering it.,chat,2026-02-08 15:17:00,Resolved
T7171,C2376,O10394,My payment failed but the amount was deducted from my account. Order O10394 shows as unpaid.,email,2026-04-22 08:36:00,Resolved
T7172,C2240,O10430,Can you tell me the current status of order O10430? Tracking hasn't updated in 3 days.,chat,2025-06-06 10:25:00,Open
T7173,C2077,O10310,Can I change the delivery address for order O10310? It hasn't shipped yet.,chat,2025-11-09 21:43:00,Escalated
T7174,C2235,O10955,"I lost my invoice, can I still claim warranty on order O10955?",chat,2025-10-23 20:47:00,Resolved
T7175,C2059,O10783,Can you tell me the current status of order O10783? Tracking hasn't updated in 3 days.,chat,2025-09-30 08:07:00,Resolved
T7176,C2016,O10278,"I was charged twice for order O10278, please refund the extra charge.",email,2025-07-20 20:28:00,Escalated
T7177,C2101,,How do I use my loyalty points on my next purchase?,chat,2026-05-11 11:27:00,Resolved
T7178,C2106,O10027,My payment failed but the amount was deducted from my account. Order O10027 shows as unpaid.,chat,2025-12-30 20:19:00,Escalated
T7179,C2053,O10577,"I want to return my order O10577, the item doesn't fit properly.",chat,2025-08-26 08:50:00,Resolved
T7180,C2202,,Is the blender compatible with international chargers?,phone-transcribed,2025-09-12 18:20:00,Escalated
T7181,C2076,O10263,Does this product come in a larger size? I'm considering ordering it.,email,2025-08-26 11:44:00,Resolved
T7182,C2179,O10779,Can I change the delivery address for order O10779? It hasn't shipped yet.,email,2026-04-13 08:51:00,Escalated
T7183,C2366,,Is the blender compatible with international chargers?,chat,2025-12-03 17:31:00,Resolved
T7184,C2397,O10468,Can you tell me the current status of order O10468? Tracking hasn't updated in 3 days.,chat,2026-06-20 11:27:00,Escalated
T7185,C2281,O11105,"My product from order O11105 stopped working, is it still under warranty?",chat,2025-11-29 11:54:00,Open
T7186,C2038,,How do I use my loyalty points on my next purchase?,chat,2025-11-18 08:27:00,Open
T7187,C2314,O10981,"I want to return my order O10981, the item doesn't fit properly.",email,2025-07-09 08:10:00,Resolved
T7188,C2031,O11472,"I was charged twice for order O11472, please refund the extra charge.",chat,2026-06-19 08:26:00,Open
T7189,C2064,O10576,This is the third time I've contacted support about order O10576 and no one has resolved it. Extremely frustrated.,chat,2025-09-30 21:10:00,Escalated
T7190,C2350,,Is the smartwatch compatible with international chargers?,email,2026-01-04 08:15:00,Open
T7191,C2008,O10830,Does this product come in a larger size? I'm considering ordering it.,email,2025-09-24 15:23:00,Resolved
T7192,C2402,O11275,I returned an item two weeks ago and still haven't received my refund. Order O11275.,chat,2025-07-27 18:49:00,Escalated
T7193,C2190,O10870,I returned an item two weeks ago and still haven't received my refund. Order O10870.,phone-transcribed,2026-02-04 15:53:00,Open
T7194,C2428,O10514,My order O10514 shows delivered but I never received it.,chat,2025-10-19 08:35:00,Open
T7195,C2060,O11053,My order O11053 shows delivered but I never received it.,chat,2025-02-25 20:58:00,Escalated
T7196,C2211,O10470,My payment failed but the amount was deducted from my account. Order O10470 shows as unpaid.,chat,2026-02-27 20:05:00,Resolved
T7197,C2216,O10087,My payment failed but the amount was deducted from my account. Order O10087 shows as unpaid.,email,2025-07-25 18:23:00,Resolved
T7198,C2075,O11474,Does this product come in a larger size? I'm considering ordering it.,phone-transcribed,2025-08-18 08:29:00,Open
T7199,C2260,,Where is my order? It was supposed to arrive by now and I haven't gotten any updates.,chat,2025-02-28 19:14:00,Resolved
T7200,C2024,O10589,This is the third time I've contacted support about order O10589 and no one has resolved it. Extremely frustrated.,phone-transcribed,2026-06-20 15:19:00,Open
T7201,C2205,O10233,"I want to return my order O10233, the item doesn't fit properly.",chat,2026-06-18 14:11:00,Resolved
T7202,C2440,O11385,My payment failed but the amount was deducted from my account. Order O11385 shows as unpaid.,chat,2025-09-10 14:38:00,Resolved
T7203,C2015,O10246,How do I initiate a return for O10246? It arrived damaged.,chat,2025-10-09 20:55:00,Escalated
T7204,C2310,O10320,"I lost my invoice, can I still claim warranty on order O10320?",phone-transcribed,2025-05-21 14:27:00,Resolved
T7205,C2040,O11198,"My product from order O11198 stopped working, is it still under warranty?",email,2025-05-29 19:54:00,Resolved
T7206,C2016,,Where is my order? It was supposed to arrive by now and I haven't gotten any updates.,chat,2025-03-03 12:21:00,Resolved
T7207,C2012,O10138,My order O10138 shows delivered but I never received it.,chat,2026-04-15 15:42:00,Resolved
T7208,C2129,O11341,Where is my order? It was supposed to arrive by now and I haven't gotten any updates.,email,2026-01-29 20:35:00,Open
T7209,C2366,,Does this product come in a larger size? I'm considering ordering it.,email,2026-04-09 11:42:00,Escalated
T7210,C2033,O10352,"My product from order O10352 stopped working, is it still under warranty?",chat,2026-03-22 16:02:00,Resolved
T7211,C2152,,Is the running shoes compatible with international chargers?,phone-transcribed,2026-03-14 20:38:00,Resolved
T7212,C2252,O10133,Is the smartwatch compatible with international chargers?,chat,2026-03-31 18:07:00,Resolved
T7213,C2195,,Does this product come in a larger size? I'm considering ordering it.,chat,2026-03-31 09:09:00,Resolved
T7214,C2146,,Where is my order? It was supposed to arrive by now and I haven't gotten any updates.,chat,2026-04-05 20:20:00,Resolved
T7215,C2107,O11410,Can I change the delivery address for order O11410? It hasn't shipped yet.,email,2025-05-04 17:28:00,Resolved
T7216,C2034,O10540,Can I change the delivery address for order O10540? It hasn't shipped yet.,phone-transcribed,2025-09-23 10:01:00,Resolved
T7217,C2026,O10943,My payment failed but the amount was deducted from my account. Order O10943 shows as unpaid.,chat,2026-05-20 08:53:00,Open
T7218,C2340,O11352,Is the blender compatible with international chargers?,chat,2025-02-28 20:05:00,Resolved
T7219,C2350,O11259,Can I change the delivery address for order O11259? It hasn't shipped yet.,phone-transcribed,2025-09-13 09:28:00,Escalated
T7220,C2374,O11100,This is the third time I've contacted support about order O11100 and no one has resolved it. Extremely frustrated.,phone-transcribed,2026-02-25 08:52:00,Escalated
T7221,C2036,O10817,My payment failed but the amount was deducted from my account. Order O10817 shows as unpaid.,chat,2025-05-29 10:48:00,Open
T7222,C2182,O11050,My payment failed but the amount was deducted from my account. Order O11050 shows as unpaid.,email,2026-03-02 16:23:00,Resolved
T7223,C2005,O10353,My payment failed but the amount was deducted from my account. Order O10353 shows as unpaid.,email,2025-06-22 16:02:00,Resolved
T7224,C2163,O11365,"I was charged twice for order O11365, please refund the extra charge.",email,2025-04-19 21:12:00,Resolved
T7225,C2043,O11219,I returned an item two weeks ago and still haven't received my refund. Order O11219.,chat,2025-03-27 18:05:00,Escalated
T7226,C2261,,How do I use my loyalty points on my next purchase?,email,2026-02-17 18:27:00,Resolved
T7227,C2258,O10948,"I want to return my order O10948, the item doesn't fit properly.",email,2025-04-13 21:30:00,Resolved
T7228,C2025,O10088,I returned an item two weeks ago and still haven't received my refund. Order O10088.,chat,2025-11-09 12:57:00,Escalated
T7229,C2404,,Does this product come in a larger size? I'm considering ordering it.,chat,2025-03-18 16:41:00,Resolved
T7230,C2249,O11380,I returned an item two weeks ago and still haven't received my refund. Order O11380.,chat,2025-07-16 13:06:00,Escalated
T7231,C2235,,Does this product come in a larger size? I'm considering ordering it.,chat,2025-09-24 08:56:00,Resolved
T7232,C2215,O11310,Can I change the delivery address for order O11310? It hasn't shipped yet.,email,2026-03-18 14:34:00,Resolved
T7233,C2135,,How do I use my loyalty points on my next purchase?,chat,2025-02-11 12:09:00,Open
T7234,C2005,O11148,"I want to return my order O11148, the item doesn't fit properly.",chat,2026-05-25 10:59:00,Resolved
T7235,C2389,O11290,How do I initiate a return for O11290? It arrived damaged.,chat,2025-09-01 10:00:00,Resolved
T7236,C2293,O10454,My order O10454 shows delivered but I never received it.,email,2025-01-24 19:32:00,Open
T7237,C2021,,How do I use my loyalty points on my next purchase?,chat,2025-11-16 20:33:00,Resolved
T7238,C2294,O10870,Can you tell me the current status of order O10870? Tracking hasn't updated in 3 days.,email,2025-04-09 09:19:00,Open
T7239,C2424,O11201,Can you tell me the current status of order O11201? Tracking hasn't updated in 3 days.,chat,2026-02-17 18:52:00,Open
T7240,C2420,O10418,This is the third time I've contacted support about order O10418 and no one has resolved it. Extremely frustrated.,chat,2026-06-24 15:46:00,Resolved
T7241,C2000,O10382,"My product from order O10382 stopped working, is it still under warranty?",chat,2025-08-30 13:35:00,Resolved
