product_id,sku,product_name,description,category,sub_category,brand,price,stock_status,avg_rating
P1023,SKU-ELE-1023,Kinetix Studio Power Bank,"The Kinetix Studio Power Bank delivers reliable performance for daily use, with a 12-month manufacturer warranty. Features noise isolation and is built for home use.",Electronics,Power Banks,Kinetix,39854.69,In Stock,4.5
P1024,SKU-ELE-1024,Aurea Max Power Bank,"The Aurea Max Power Bank delivers reliable performance for daily use, with a 12-month manufacturer warranty. Features lightweight design and is built for work-from-home setups.",Electronics,Power Banks,Aurea,1868.63,In Stock,3.3
P1025,SKU-ELE-1025,Pulseon Essential Power Bank,"The Pulseon Essential Power Bank delivers reliable performance for daily use, with a 24-month manufacturer warranty. Features lightweight design and is built for work-from-home setups.",Electronics,Power Banks,Pulseon,2528.23,In Stock,2.8
P1026,SKU-ELE-1026,Pulseon Studio Power Bank,"The Pulseon Studio Power Bank delivers reliable performance for daily use, with a 24-month manufacturer warranty. Features long battery life and is built for work-from-home setups.",Electronics,Power Banks,Pulseon,33317.24,In Stock,3.7
P1027,SKU-ELE-1027,Kinetix Signature Power Bank,"The Kinetix Signature Power Bank delivers reliable performance for daily use, with a 12-month manufacturer warranty. Features long battery life and is built for daily commutes.",Electronics,Power Banks,Kinetix,14162.62,In Stock,4.5
P1028,SKU-ELE-1028,Kinetix Classic Laptop,"The Kinetix Classic Laptop delivers reliable performance for daily use, with a 12-month manufacturer warranty. Features quick pairing and is built for daily commutes.",Electronics,Laptops,Kinetix,20784.62,In Stock,3.1
P1029,SKU-ELE-1029,Voltix Max Laptop,"The Voltix Max Laptop delivers reliable performance for daily use, with a 24-month manufacturer warranty. Features fast charging and is built for daily commutes.",Electronics,Laptops,Voltix,45272.91,In Stock,2.8
P1030,SKU-ELE-1030,Voltix Premium Laptop,"The Voltix Premium Laptop delivers reliable performance for daily use, with a 24-month manufacturer warranty. Features quick pairing and is built for daily commutes.",Electronics,Laptops,Voltix,10690.62,In Stock,4.3
P1031,SKU-ELE-1031,Pulseon Premium Laptop,"The Pulseon Premium Laptop delivers reliable performance for daily use, with a 24-month manufacturer warranty. Features lightweight design and is built for home use.",Electronics,Laptops,Pulseon,38340.73,In Stock,4.3
P1032,SKU-ELE-1032,Aurea Essential Laptop,"The Aurea Essential Laptop delivers reliable performance for daily use, with a 24-month manufacturer warranty. Features fast charging and is built for home use.",Electronics,Laptops,Aurea,15979.31,In Stock,3.8
P1033,SKU-ELE-1033,Voltix Max Laptop,"The Voltix Max Laptop delivers reliable performance for daily use, with a 18-month manufacturer warranty. Features quick pairing and is built for travel.",Electronics,Laptops,Voltix,38445.68,In Stock,3.9
P1034,SKU-ELE-1034,Pulseon Max Laptop,"The Pulseon Max Laptop delivers reliable performance for daily use, with a 18-month manufacturer warranty. Features lightweight design and is built for daily commutes.",Electronics,Laptops,Pulseon,22866.97,In Stock,4.7
P1035,SKU-ELE-1035,Pulseon Active Laptop,"The Pulseon Active Laptop delivers reliable performance for daily use, with a 12-month manufacturer warranty. Features lightweight design and is built for home use.",Electronics,Laptops,Pulseon,30766.59,In Stock,4.4
P1036,SKU-ELE-1036,Nexbyte Premium Smartphone,"The Nexbyte Premium Smartphone delivers reliable performance for daily use, with a 12-month manufacturer warranty. Features lightweight design and is built for travel.",Electronics,Smartphones,Nexbyte,12201.67,In Stock,4.1
P1037,SKU-ELE-1037,Aurea Lite Smartphone,"The Aurea Lite Smartphone delivers reliable performance for daily use, with a 12-month manufacturer warranty. Features quick pairing and is built for home use.",Electronics,Smartphones,Aurea,22203.96,In Stock,4.8
P1038,SKU-ELE-1038,Pulseon Studio Smartphone,"The Pulseon Studio Smartphone delivers reliable performance for daily use, with a 18-month manufacturer warranty. Features lightweight design and is built for home use.",Electronics,Smartphones,Pulseon,41841.78,In Stock,3.6
P1039,SKU-ELE-1039,Pulseon Studio Smartphone,"The Pulseon Studio Smartphone delivers reliable performance for daily use, with a 18-month manufacturer warranty. Features lightweight design and is built for travel.",Electronics,Smartphones,Pulseon,16222.65,In Stock,4.2
P1040,SKU-ELE-1040,Pulseon Urban Smartphone,"The Pulseon Urban Smartphone delivers reliable performance for daily use, with a 18-month manufacturer warranty. Features lightweight design and is built for outdoor use.",Electronics,Smartphones,Pulseon,35812.79,In Stock,4.2
P1041,SKU-ELE-1041,Nexbyte Everyday Smartphone,"The Nexbyte Everyday Smartphone delivers reliable performance for daily use, with a 18-month manufacturer warranty. Features long battery life and is built for daily commutes.",Electronics,Smartphones,Nexbyte,23141.65,Out of Stock,3.0
P1042,SKU-ELE-1042,Kinetix Classic Smartphone,"The Kinetix Classic Smartphone delivers reliable performance for daily use, with a 12-month manufacturer warranty. Features lightweight design and is built for daily commutes.",Electronics,Smartphones,Kinetix,25892.96,In Stock,3.6
P1043,SKU-ELE-1043,Pulseon Urban Smartphone,"The Pulseon Urban Smartphone delivers reliable performance for daily use, with a 24-month manufacturer warranty. Features quick pairing and is built for work-from-home setups.",Electronics,Smartphones,Pulseon,16336.83,In Stock,3.1
P1044,SKU-ELE-1044,Pulseon Signature Smartphone,"The Pulseon Signature Smartphone delivers reliable performance for daily use, with a 12-month manufacturer warranty. Features lightweight design and is built for work-from-home setups.",Electronics,Smartphones,Pulseon,9167.77,In Stock,3.9
P1045,SKU-ELE-1045,Voltix Everyday Tablet,"The Voltix Everyday Tablet delivers reliable performance for daily use, with a 24-month manufacturer warranty. Features long battery life and is built for daily commutes.",Electronics,Tablets,Voltix,25810.83,In Stock,2.9
P1046,SKU-ELE-1046,Kinetix Pro Tablet,"The Kinetix Pro Tablet delivers reliable performance for daily use, with a 18-month manufacturer warranty. Features lightweight design and is built for travel.",Electronics,Tablets,Kinetix,37958.63,In Stock,4.1
P1047,SKU-ELE-1047,Pulseon Max Tablet,"The Pulseon Max Tablet delivers reliable performance for daily use, with a 18-month manufacturer warranty. Features lightweight design and is built for daily commutes.",Electronics,Tablets,Pulseon,35860.35,In Stock,3.1
P1048,SKU-ELE-1048,Aurea Urban Tablet,"The Aurea Urban Tablet delivers reliable performance for daily use, with a 12-month manufacturer warranty. Features lightweight design and is built for daily commutes.",Electronics,Tablets,Aurea,4191.93,In Stock,4.7
P1049,SKU-ELE-1049,Pulseon Studio Tablet,"The Pulseon Studio Tablet delivers reliable performance for daily use, with a 12-month manufacturer warranty. Features lightweight design and is built for travel.",Electronics,Tablets,Pulseon,37135.54,In Stock,4.5
P1050,SKU-ELE-1050,Nexbyte Classic Tablet,"The Nexbyte Classic Tablet delivers reliable performance for daily use, with a 24-month manufacturer warranty. Features noise isolation and is built for daily commutes.",Electronics,Tablets,Nexbyte,6419.79,In Stock,3.0
P1051,SKU-ELE-1051,Pulseon Active Tablet,"The Pulseon Active Tablet delivers reliable performance for daily use, with a 24-month manufacturer warranty. Features noise isolation and is built for outdoor use.",Electronics,Tablets,Pulseon,43774.54,In Stock,4.8
P1052,SKU-ELE-1052,Kinetix Compact Tablet,"The Kinetix Compact Tablet delivers reliable performance for daily use, with a 18-month manufacturer warranty. Features fast charging and is built for home use.",Electronics,Tablets,Kinetix,19256.33,In Stock,3.3
P1053,SKU-ELE-1053,Kinetix Urban Camera,"The Kinetix Urban Camera delivers reliable performance for daily use, with a 12-month manufacturer warranty. Features quick pairing and is built for daily commutes.",Electronics,Cameras,Kinetix,38085.71,In Stock,3.1
P1054,SKU-ELE-1054,Nexbyte Classic Camera,"The Nexbyte Classic Camera delivers reliable performance for daily use, with a 18-month manufacturer warranty. Features fast charging and is built for travel.",Electronics,Cameras,Nexbyte,40613.27,In Stock,3.0
P1055,SKU-ELE-1055,Aurea Classic Camera,"The Aurea Classic Camera delivers reliable performance for daily use, with a 18-month manufacturer warranty. Features quick pairing and is built for work-from-home setups.",Electronics,Cameras,Aurea,42954.92,Out of Stock,3.9
P1056,SKU-ELE-1056,Aurea Pro Camera,"The Aurea Pro Camera delivers reliable performance for daily use, with a 18-month manufacturer warranty. Features noise isolation and is built for outdoor use.",Electronics,Cameras,Aurea,13285.38,In Stock,3.5
P1057,SKU-ELE-1057,Pulseon Premium Camera,"The Pulseon Premium Camera delivers reliable performance for daily use, with a 18-month manufacturer warranty. Features long battery life and is built for home use.",Electronics,Cameras,Pulseon,21380.58,Out of Stock,4.5
P1058,SKU-ELE-1058,Aurea Classic Camera,"The Aurea Classic Camera delivers reliable performance for daily use, with a 12-month manufacturer warranty. Features quick pairing and is built for outdoor use.",Electronics,Cameras,Aurea,44409.06,In Stock,4.8
P1059,SKU-ELE-1059,Kinetix Essential Charger,"The Kinetix Essential Charger delivers reliable performance for daily use, with a 24-month manufacturer warranty. Features lightweight design and is built for travel.",Electronics,Chargers,Kinetix,16101.97,In Stock,3.4
P1060,SKU-ELE-1060,Aurea Signature Charger,"The Aurea Signature Charger delivers reliable performance for daily use, with a 12-month manufacturer warranty. Features fast charging and is built for daily commutes.",Electronics,Chargers,Aurea,4884.15,In Stock,3.1
P1061,SKU-ELE-1061,Pulseon Premium Charger,"The Pulseon Premium Charger delivers reliable performance for daily use, with a 12-month manufacturer warranty. Features long battery life and is built for home use.",Electronics,Chargers,Pulseon,26378.95,In Stock,3.8
P1062,SKU-ELE-1062,Voltix Classic Charger,"The Voltix Classic Charger delivers reliable performance for daily use, with a 24-month manufacturer warranty. Features quick pairing and is built for home use.",Electronics,Chargers,Voltix,41533.67,In Stock,3.6
P1063,SKU-ELE-1063,Kinetix Pro Charger,"The Kinetix Pro Charger delivers reliable performance for daily use, with a 24-month manufacturer warranty. Features noise isolation and is built for outdoor use.",Electronics,Chargers,Kinetix,11520.7,In Stock,4.5
P1064,SKU-ELE-1064,Nexbyte Max Charger,"The Nexbyte Max Charger delivers reliable performance for daily use, with a 18-month manufacturer warranty. Features long battery life and is built for home use.",Electronics,Chargers,Nexbyte,28238.34,In Stock,4.3
P1065,SKU-ELE-1065,Nexbyte Compact Earbud,"The Nexbyte Compact Earbud delivers reliable performance for daily use, with a 12-month manufacturer warranty. Features long battery life and is built for home use.",Electronics,Earbuds,Nexbyte,34585.14,In Stock,3.0
P1066,SKU-ELE-1066,Aurea Studio Earbud,"The Aurea Studio Earbud delivers reliable performance for daily use, with a 18-month manufacturer warranty. Features quick pairing and is built for work-from-home setups.",Electronics,Earbuds,Aurea,33533.6,In Stock,3.4
P1067,SKU-ELE-1067,Kinetix Studio Earbud,"The Kinetix Studio Earbud delivers reliable performance for daily use, with a 12-month manufacturer warranty. Features long battery life and is built for daily commutes.",Electronics,Earbuds,Kinetix,43300.19,In Stock,3.1
P1068,SKU-ELE-1068,Voltix Essential Earbud,"The Voltix Essential Earbud delivers reliable performance for daily use, with a 12-month manufacturer warranty. Features fast charging and is built for home use.",Electronics,Earbuds,Voltix,45814.92,In Stock,3.8
P1069,SKU-ELE-1069,Kinetix Essential Earbud,"The Kinetix Essential Earbud delivers reliable performance for daily use, with a 18-month manufacturer warranty. Features long battery life and is built for daily commutes.",Electronics,Earbuds,Kinetix,2277.78,In Stock,4.8
P1070,SKU-ELE-1070,Kinetix Pro Earbud,"The Kinetix Pro Earbud delivers reliable performance for daily use, with a 24-month manufacturer warranty. Features quick pairing and is built for travel.",Electronics,Earbuds,Kinetix,30756.15,In Stock,4.6
P1071,SKU-FOO-1071,Cliffwalk Active Running Shoe,"Cliffwalk Active Running Shoe offers lightweight support, designed for light workouts. Available in multiple sizes with a rubber sole.",Footwear,Running Shoes,Cliffwalk,716.86,In Stock,2.8
P1072,SKU-FOO-1072,Nordrun Everyday Running Shoe,"Nordrun Everyday Running Shoe offers cushioned support, designed for casual outings. Available in multiple sizes with a EVA foam sole.",Footwear,Running Shoes,Nordrun,1497.58,In Stock,4.4
P1073,SKU-FOO-1073,Tersole Essential Running Shoe,"Tersole Essential Running Shoe offers all-day comfort support, designed for casual outings. Available in multiple sizes with a memory foam sole.",Footwear,Running Shoes,Tersole,3584.67,In Stock,3.1
P1074,SKU-FOO-1074,Cliffwalk Essential Running Shoe,"Cliffwalk Essential Running Shoe offers all-day comfort support, designed for office wear. Available in multiple sizes with a EVA foam sole.",Footwear,Running Shoes,Cliffwalk,4632.2,In Stock,3.3
P1075,SKU-FOO-1075,Nordrun Classic Running Shoe,"Nordrun Classic Running Shoe offers all-day comfort support, designed for office wear. Available in multiple sizes with a memory foam sole.",Footwear,Running Shoes,Nordrun,3211.0,In Stock,3.0
P1076,SKU-FOO-1076,Baseline Pro Running Shoe,"Baseline Pro Running Shoe offers cushioned support, designed for office wear. Available in multiple sizes with a memory foam sole.",Footwear,Running Shoes,Baseline,5389.91,In Stock,3.4
P1077,SKU-FOO-1077,Nordrun Compact Running Shoe,"Nordrun Compact Running Shoe offers all-day comfort support, designed for light workouts. Available in multiple sizes with a rubber sole.",Footwear,Running Shoes,Nordrun,1351.68,In Stock,3.7
P1078,SKU-FOO-1078,Tersole Active Running Shoe,"Tersole Active Running Shoe offers lightweight support, designed for everyday wear. Available in multiple sizes with a rubber sole.",Footwear,Running Shoes,Tersole,4564.51,In Stock,3.1
P1079,SKU-FOO-1079,Strydan Lite Sneakers,"Strydan Lite Sneakers offers breathable support, designed for casual outings. Available in multiple sizes with a EVA foam sole.",Footwear,Sneakers,Strydan,5367.11,In Stock,4.4
P1080,SKU-FOO-1080,Tersole Active Sneakers,"Tersole Active Sneakers offers cushioned support, designed for everyday wear. Available in multiple sizes with a EVA foam sole.",Footwear,Sneakers,Tersole,1234.23,In Stock,4.4
P1081,SKU-FOO-1081,Strydan Compact Sneakers,"Strydan Compact Sneakers offers lightweight support, designed for everyday wear. Available in multiple sizes with a rubber sole.",Footwear,Sneakers,Strydan,3407.46,Out of Stock,4.4
P1082,SKU-FOO-1082,Nordrun Essential Sneakers,"Nordrun Essential Sneakers offers breathable support, designed for light workouts. Available in multiple sizes with a EVA foam sole.",Footwear,Sneakers,Nordrun,2766.17,In Stock,2.8
P1083,SKU-FOO-1083,Strydan Compact Sneakers,"Strydan Compact Sneakers offers lightweight support, designed for everyday wear. Available in multiple sizes with a EVA foam sole.",Footwear,Sneakers,Strydan,4326.28,Out of Stock,3.0
P1084,SKU-FOO-1084,Strydan Max Sneakers,"Strydan Max Sneakers offers all-day comfort support, designed for office wear. Available in multiple sizes with a memory foam sole.",Footwear,Sneakers,Strydan,3443.76,In Stock,3.0
P1085,SKU-FOO-1085,Tersole Max Sneakers,"Tersole Max Sneakers offers breathable support, designed for everyday wear. Available in multiple sizes with a rubber sole.",Footwear,Sneakers,Tersole,6406.31,In Stock,4.8
P1086,SKU-FOO-1086,Baseline Classic Sneakers,"Baseline Classic Sneakers offers lightweight support, designed for office wear. Available in multiple sizes with a rubber sole.",Footwear,Sneakers,Baseline,5452.01,In Stock,3.4
P1087,SKU-FOO-1087,Strydan Compact Sneakers,"Strydan Compact Sneakers offers cushioned support, designed for everyday wear. Available in multiple sizes with a EVA foam sole.",Footwear,Sneakers,Strydan,3895.22,In Stock,4.8
P1088,SKU-FOO-1088,Baseline Active Formal Shoe,"Baseline Active Formal Shoe offers breathable support, designed for everyday wear. Available in multiple sizes with a EVA foam sole.",Footwear,Formal Shoes,Baseline,4805.58,In Stock,3.7
P1089,SKU-FOO-1089,Baseline Urban Formal Shoe,"Baseline Urban Formal Shoe offers lightweight support, designed for casual outings. Available in multiple sizes with a EVA foam sole.",Footwear,Formal Shoes,Baseline,3992.31,In Stock,4.2
P1090,SKU-FOO-1090,Nordrun Essential Formal Shoe,"Nordrun Essential Formal Shoe offers lightweight support, designed for everyday wear. Available in multiple sizes with a memory foam sole.",Footwear,Formal Shoes,Nordrun,5258.52,In Stock,4.8
P1091,SKU-FOO-1091,Nordrun Urban Formal Shoe,"Nordrun Urban Formal Shoe offers cushioned support, designed for casual outings. Available in multiple sizes with a memory foam sole.",Footwear,Formal Shoes,Nordrun,3072.08,Out of Stock,3.5
P1092,SKU-FOO-1092,Baseline Max Formal Shoe,"Baseline Max Formal Shoe offers lightweight support, designed for everyday wear. Available in multiple sizes with a memory foam sole.",Footwear,Formal Shoes,Baseline,2126.22,In Stock,4.5
P1093,SKU-FOO-1093,Tersole Lite Formal Shoe,"Tersole Lite Formal Shoe offers breathable support, designed for casual outings. Available in multiple sizes with a memory foam sole.",Footwear,Formal Shoes,Tersole,5242.45,Out of Stock,4.4
P1094,SKU-FOO-1094,Nordrun Studio Sandal,"Nordrun Studio Sandal offers all-day comfort support, designed for casual outings. Available in multiple sizes with a rubber sole.",Footwear,Sandals,Nordrun,6665.92,In Stock,3.6
P1095,SKU-FOO-1095,Strydan Signature Sandal,"Strydan Signature Sandal offers breathable support, designed for office wear. Available in multiple sizes with a EVA foam sole.",Footwear,Sandals,Strydan,6028.12,Out of Stock,4.8
P1096,SKU-FOO-1096,Baseline Everyday Sandal,"Baseline Everyday Sandal offers cushioned support, designed for office wear. Available in multiple sizes with a rubber sole.",Footwear,Sandals,Baseline,3196.66,In Stock,3.4
P1097,SKU-FOO-1097,Baseline Signature Sandal,"Baseline Signature Sandal offers cushioned support, designed for everyday wear. Available in multiple sizes with a rubber sole.",Footwear,Sandals,Baseline,5935.0,In Stock,3.3
P1098,SKU-FOO-1098,Strydan Everyday Sandal,"Strydan Everyday Sandal offers cushioned support, designed for everyday wear. Available in multiple sizes with a EVA foam sole.",Footwear,Sandals,Strydan,2201.17,In Stock,3.5
P1099,SKU-FOO-1099,Tersole Premium Sandal,"Tersole Premium Sandal offers lightweight support, designed for everyday wear. Available in multiple sizes with a memory foam sole.",Footwear,Sandals,Tersole,1879.08,In Stock,3.6
P1100,SKU-FOO-1100,Strydan Compact Sandal,"Strydan Compact Sandal offers lightweight support, designed for light workouts. Available in multiple sizes with a rubber sole.",Footwear,Sandals,Strydan,5666.68,In Stock,3.2
P1101,SKU-FOO-1101,Strydan Signature Boot,"Strydan Signature Boot offers breathable support, designed for everyday wear. Available in multiple sizes with a rubber sole.",Footwear,Boots,Strydan,5589.0,In Stock,2.9
P1102,SKU-FOO-1102,Cliffwalk Essential Boot,"Cliffwalk Essential Boot offers cushioned support, designed for office wear. Available in multiple sizes with a EVA foam sole.",Footwear,Boots,Cliffwalk,2947.94,In Stock,3.8
P1103,SKU-FOO-1103,Tersole Essential Boot,"Tersole Essential Boot offers all-day comfort support, designed for light workouts. Available in multiple sizes with a memory foam sole.",Footwear,Boots,Tersole,5746.23,In Stock,3.4
P1104,SKU-FOO-1104,Tersole Signature Boot,"Tersole Signature Boot offers all-day comfort support, designed for everyday wear. Available in multiple sizes with a memory foam sole.",Footwear,Boots,Tersole,3383.53,In Stock,3.7
P1105,SKU-FOO-1105,Tersole Signature Boot,"Tersole Signature Boot offers all-day comfort support, designed for everyday wear. Available in multiple sizes with a rubber sole.",Footwear,Boots,Tersole,4979.29,Out of Stock,2.9
P1106,SKU-FOO-1106,Cliffwalk Studio Boot,"Cliffwalk Studio Boot offers cushioned support, designed for light workouts. Available in multiple sizes with a memory foam sole.",Footwear,Boots,Cliffwalk,3533.51,Out of Stock,2.9
P1107,SKU-FOO-1107,Cliffwalk Classic Boot,"Cliffwalk Classic Boot offers lightweight support, designed for casual outings. Available in multiple sizes with a rubber sole.",Footwear,Boots,Cliffwalk,3960.8,In Stock,3.7
P1108,SKU-FOO-1108,Strydan Studio Loafer,"Strydan Studio Loafer offers lightweight support, designed for office wear. Available in multiple sizes with a rubber sole.",Footwear,Loafers,Strydan,6794.64,In Stock,3.3
P1109,SKU-FOO-1109,Baseline Everyday Loafer,"Baseline Everyday Loafer offers breathable support, designed for everyday wear. Available in multiple sizes with a rubber sole.",Footwear,Loafers,Baseline,2972.65,In Stock,3.0
P1110,SKU-FOO-1110,Nordrun Studio Loafer,"Nordrun Studio Loafer offers breathable support, designed for light workouts. Available in multiple sizes with a rubber sole.",Footwear,Loafers,Nordrun,1166.24,In Stock,3.5
P1111,SKU-FOO-1111,Cliffwalk Compact Loafer,"Cliffwalk Compact Loafer offers lightweight support, designed for light workouts. Available in multiple sizes with a memory foam sole.",Footwear,Loafers,Cliffwalk,6668.14,In Stock,4.0
P1112,SKU-FOO-1112,Tersole Lite Loafer,"Tersole Lite Loafer offers cushioned support, designed for everyday wear. Available in multiple sizes with a rubber sole.",Footwear,Loafers,Tersole,1777.56,In Stock,3.8
P1113,SKU-FOO-1113,Tersole Essential Loafer,"Tersole Essential Loafer offers all-day comfort support, designed for office wear. Available in multiple sizes with a EVA foam sole.",Footwear,Loafers,Tersole,4743.02,In Stock,3.2
P1114,SKU-FOO-1114,Tersole Lite Loafer,"Tersole Lite Loafer offers all-day comfort support, designed for light workouts. Available in multiple sizes with a EVA foam sole.",Footwear,Loafers,Tersole,2668.27,In Stock,3.3
P1115,SKU-FOO-1115,Strydan Everyday Loafer,"Strydan Everyday Loafer offers breathable support, designed for light workouts. Available in multiple sizes with a EVA foam sole.",Footwear,Loafers,Strydan,2527.34,In Stock,4.6
P1116,SKU-FOO-1116,Baseline Everyday Loafer,"Baseline Everyday Loafer offers breathable support, designed for light workouts. Available in multiple sizes with a memory foam sole.",Footwear,Loafers,Baseline,1266.31,In Stock,4.6
P1117,SKU-APP-1117,Fieldstitch Urban T-Shirt,"Fieldstitch Urban T-Shirt is made from breathable stretch fabric, ideal for everyday wear. Machine washable and available in multiple sizes and colors.",Apparel,T-Shirts,Fieldstitch,436.62,In Stock,3.6
P1118,SKU-APP-1118,Fieldstitch Pro T-Shirt,"Fieldstitch Pro T-Shirt is made from soft brushed fleece, ideal for casual outings. Machine washable and available in multiple sizes and colors.",Apparel,T-Shirts,Fieldstitch,2176.2,In Stock,3.9
P1119,SKU-APP-1119,Mono Studio Everyday T-Shirt,"Mono Studio Everyday T-Shirt is made from a cotton-poly blend, ideal for casual outings. Machine washable and available in multiple sizes and colors.",Apparel,T-Shirts,Mono Studio,607.4,Out of Stock,4.4
P1120,SKU-APP-1120,Fieldstitch Active T-Shirt,"Fieldstitch Active T-Shirt is made from breathable stretch fabric, ideal for casual outings. Machine washable and available in multiple sizes and colors.",Apparel,T-Shirts,Fieldstitch,1946.32,In Stock,4.7
P1121,SKU-APP-1121,Loomwear Active T-Shirt,"Loomwear Active T-Shirt is made from soft brushed fleece, ideal for layering. Machine washable and available in multiple sizes and colors.",Apparel,T-Shirts,Loomwear,2582.11,In Stock,4.0
