order_id,customer_id,product_id,category,price,discount_pct,order_date,delivery_days,payment_method,is_returned,return_reason
O10131,C2276,P1212,Home Goods,2418.87,0,2026-03-18,4,UPI,0,
O10132,C2022,P1179,Home Goods,8274.56,10,2025-08-23,6,COD,0,
O10133,C2411,P1190,Home Goods,7914.92,25,2025-04-11,3,UPI,0,
O10134,C2392,P1060,Electronics,3663.11,25,2025-03-27,3,UPI,1,Changed my mind after purchase
O10135,C2380,P1203,Home Goods,12189.08,0,2026-06-20,8,card,1,Missing parts/accessories
O10136,C2352,P1206,Home Goods,4465.04,0,2026-01-06,6,UPI,0,
O10137,C2274,P1109,Footwear,2675.39,10,2025-10-10,5,netbanking,0,
O10138,C2104,P1106,Footwear,3180.16,10,2026-05-10,5,UPI,0,
O10139,C2295,P1089,Footwear,3193.85,20,2026-02-12,7,wallet,0,
O10140,C2337,P1031,Electronics,32589.62,15,2026-04-03,5,card,0,
O10141,C2402,P1087,Footwear,3116.18,20,2025-02-23,1,card,0,
O10142,C2002,P1206,Home Goods,4465.04,0,2025-05-29,1,card,0,
O10143,C2189,P1021,Electronics,30872.38,10,2026-01-29,5,COD,0,
O10144,C2335,P1134,Apparel,1343.85,0,2025-02-28,8,UPI,0,
O10145,C2103,P1218,Home Goods,9751.77,15,2026-06-15,3,card,1,Changed my mind after purchase
O10146,C2261,P1133,Apparel,3567.26,15,2025-06-23,3,wallet,0,
O10147,C2044,P1071,Footwear,573.49,20,2025-12-28,2,wallet,0,
O10148,C2102,P1133,Apparel,4196.78,0,2025-03-12,6,wallet,0,
O10149,C2298,P1090,Footwear,5258.52,0,2025-10-11,3,card,0,
O10150,C2232,P1104,Footwear,3045.18,10,2025-09-25,5,UPI,0,
O10151,C2174,P1030,Electronics,8552.5,20,2025-09-21,6,COD,0,
O10152,C2294,P1065,Electronics,29397.37,15,2026-01-22,1,COD,0,
O10153,C2234,P1175,Home Goods,6596.96,5,2025-01-29,3,UPI,0,
O10154,C2195,P1163,Apparel,2160.91,20,2025-08-14,3,card,0,
O10155,C2264,P1138,Apparel,4122.6,0,2025-09-27,3,card,1,Color faded after first wash
O10156,C2038,P1142,Apparel,618.25,25,2026-05-03,3,UPI,1,Fabric quality not as described
O10157,C2255,P1189,Home Goods,7409.81,0,2025-09-05,5,COD,0,
O10158,C2103,P1214,Home Goods,3791.51,0,2025-12-31,5,COD,0,
O10159,C2339,P1127,Apparel,3062.08,10,2025-02-13,5,COD,0,
O10160,C2161,P1127,Apparel,2551.73,25,2025-10-09,1,COD,0,
O10161,C2113,P1193,Home Goods,5095.99,10,2025-02-25,4,UPI,0,
O10162,C2276,P1009,Electronics,25084.17,10,2026-02-08,6,UPI,1,Did not match product description
O10163,C2235,P1081,Footwear,2896.34,15,2025-01-13,1,wallet,0,
O10164,C2051,P1084,Footwear,3271.57,5,2025-09-23,5,card,0,
O10165,C2175,P1094,Footwear,6665.92,0,2026-03-11,6,card,0,
O10166,C2190,P1094,Footwear,5332.74,20,2025-10-14,1,netbanking,0,
O10167,C2416,P1026,Electronics,28319.65,15,2025-08-30,5,UPI,0,
O10168,C2100,P1038,Electronics,33473.42,20,2025-06-03,4,UPI,1,Changed my mind after purchase
O10169,C2264,P1137,Apparel,3185.08,15,2026-05-14,4,card,0,
O10170,C2290,P1013,Electronics,3085.16,5,2025-06-17,8,UPI,0,
O10171,C2230,P1191,Home Goods,8282.97,0,2026-01-05,5,UPI,0,
O10172,C2414,P1066,Electronics,33533.6,0,2026-02-26,7,netbanking,0,
O10173,C2294,P1167,Home Goods,11315.66,10,2025-06-28,7,netbanking,0,
O10174,C2166,P1173,Home Goods,9510.31,10,2026-04-03,6,card,0,
O10175,C2074,P1043,Electronics,14703.15,10,2025-12-12,3,UPI,0,
O10176,C2207,P1218,Home Goods,8604.5,25,2025-03-23,5,card,0,
O10177,C2136,P1155,Apparel,3511.07,10,2025-10-05,5,COD,0,
O10178,C2185,P1192,Home Goods,465.55,10,2026-04-07,3,card,0,
O10179,C2338,P1065,Electronics,25938.85,25,2025-03-23,5,card,0,
O10180,C2048,P1017,Electronics,20224.6,25,2026-04-30,4,UPI,0,
O10181,C2042,P1027,Electronics,14162.62,0,2025-06-09,4,card,0,
O10182,C2199,P1080,Footwear,1234.23,0,2025-10-18,3,UPI,0,
O10183,C2017,P1170,Home Goods,8229.25,5,2025-11-30,4,COD,0,
O10184,C2445,P1139,Apparel,1048.83,25,2026-04-01,8,UPI,0,
O10185,C2233,P1162,Apparel,2541.34,15,2026-03-22,8,UPI,0,
O10186,C2158,P1089,Footwear,3792.69,5,2025-08-21,5,UPI,0,
O10187,C2155,P1003,Electronics,12755.34,0,2025-05-20,2,card,0,
O10188,C2004,P1177,Home Goods,380.59,25,2026-05-04,3,COD,0,
O10189,C2407,P1002,Electronics,9686.63,10,2025-07-13,8,UPI,0,
O10190,C2202,P1064,Electronics,28238.34,0,2026-02-04,5,card,0,
O10191,C2264,P1196,Home Goods,7510.78,20,2025-10-06,3,card,0,
O10192,C2414,P1069,Electronics,2163.89,5,2025-03-12,5,UPI,0,
O10193,C2139,P1180,Home Goods,11619.68,10,2025-07-12,6,card,0,
O10194,C2273,P1006,Electronics,30424.83,0,2025-04-15,4,UPI,1,Item stopped working after a few days
O10195,C2077,P1004,Electronics,37965.86,5,2025-12-17,5,UPI,0,
O10196,C2255,P1096,Footwear,3036.83,5,2025-02-02,2,netbanking,1,Color different from photos
O10197,C2036,P1140,Apparel,1581.47,5,2025-07-16,8,COD,0,
O10198,C2195,P1213,Home Goods,11046.11,0,2025-09-12,1,card,0,
O10199,C2101,P1118,Apparel,1849.77,15,2025-04-07,8,UPI,0,
O10200,C2242,P1100,Footwear,4816.68,15,2025-11-16,5,wallet,0,
O10201,C2281,P1134,Apparel,1343.85,0,2026-05-08,3,UPI,0,
O10202,C2026,P1222,Home Goods,4641.66,15,2025-04-26,4,card,0,
O10203,C2299,P1031,Electronics,36423.69,5,2025-09-06,6,card,1,Changed my mind after purchase
O10204,C2243,P1177,Home Goods,456.7,10,2026-01-16,4,UPI,0,
O10205,C2173,P1195,Home Goods,1807.39,10,2025-03-03,2,UPI,0,
O10206,C2274,P1203,Home Goods,12189.08,0,2026-05-15,5,COD,0,
O10207,C2412,P1113,Footwear,4031.57,15,2025-01-22,10,wallet,0,
O10208,C2068,P1065,Electronics,25938.85,25,2026-05-12,3,UPI,0,
O10209,C2290,P1048,Electronics,3772.74,10,2025-11-28,1,wallet,0,
O10210,C2425,P1154,Apparel,3052.54,25,2025-06-14,5,card,0,
O10211,C2187,P1117,Apparel,436.62,0,2026-06-03,5,UPI,0,
O10212,C2009,P1159,Apparel,2876.65,20,2025-09-02,4,netbanking,0,
O10213,C2097,P1135,Apparel,1334.08,15,2025-06-07,5,UPI,0,
O10214,C2328,P1083,Footwear,4326.28,0,2026-06-20,4,COD,1,Wrong size received
O10215,C2103,P1028,Electronics,19745.39,5,2025-04-12,3,card,0,
O10216,C2198,P1169,Home Goods,2455.58,5,2025-09-20,5,wallet,1,Missing parts/accessories
O10217,C2335,P1126,Apparel,2610.18,25,2025-03-23,4,UPI,0,
O10218,C2184,P1143,Apparel,1167.32,15,2026-03-02,6,card,0,
O10219,C2270,P1011,Electronics,3139.02,15,2025-11-08,1,card,0,
O10220,C2265,P1025,Electronics,2528.23,0,2025-08-25,3,UPI,0,
O10221,C2320,P1046,Electronics,34162.77,10,2026-03-02,4,wallet,0,
O10222,C2295,P1092,Footwear,1807.29,15,2026-03-14,5,card,0,
O10223,C2172,P1169,Home Goods,2584.82,0,2026-03-30,3,COD,0,
O10224,C2281,P1084,Footwear,2755.01,20,2026-02-27,4,wallet,0,
O10225,C2288,P1140,Apparel,1664.71,0,2025-09-18,2,UPI,0,
O10226,C2203,P1001,Electronics,11245.78,15,2025-10-19,2,netbanking,0,
O10227,C2153,P1057,Electronics,21380.58,0,2025-11-19,2,card,0,
O10228,C2353,P1211,Home Goods,11620.92,0,2026-06-08,1,card,1,Doesn't work as advertised
O10229,C2079,P1036,Electronics,12201.67,0,2025-09-13,2,card,0,
O10230,C2047,P1147,Apparel,2181.2,5,2025-08-11,4,COD,0,
O10231,C2422,P1177,Home Goods,431.33,15,2025-04-08,1,UPI,0,
O10232,C2374,P1207,Home Goods,10020.11,10,2025-03-22,5,card,0,
O10233,C2222,P1107,Footwear,2970.6,25,2025-05-04,1,COD,1,Sole started peeling within a week
O10234,C2005,P1163,Apparel,2160.91,20,2026-01-27,7,card,0,
O10235,C2167,P1129,Apparel,2169.12,15,2025-06-06,5,card,0,
O10236,C2201,P1115,Footwear,2148.24,15,2026-06-01,6,COD,1,Material quality lower than expected
O10237,C2042,P1122,Apparel,437.5,10,2025-02-20,5,UPI,0,
O10238,C2204,P1129,Apparel,2424.3,5,2025-05-14,4,card,0,
O10239,C2292,P1051,Electronics,39397.09,10,2026-06-21,1,card,1,Item arrived with a cracked screen
O10240,C2165,P1176,Home Goods,5012.2,25,2025-04-02,6,UPI,0,
O10241,C2176,P1153,Apparel,1890.26,15,2025-11-09,5,card,0,
O10242,C2420,P1206,Home Goods,4241.79,5,2025-05-30,1,card,0,
O10243,C2079,P1194,Home Goods,10263.34,15,2025-03-29,6,card,1,Changed my mind after purchase
O10244,C2075,P1214,Home Goods,3033.21,20,2025-01-15,2,card,0,
O10245,C2169,P1054,Electronics,34521.28,15,2025-08-05,7,card,0,
O10246,C2132,P1141,Apparel,1432.08,5,2025-05-25,3,UPI,0,
O10247,C2269,P1012,Electronics,31036.8,0,2025-03-03,1,card,0,
O10248,C2316,P1070,Electronics,30756.15,0,2025-01-09,7,wallet,0,
O10249,C2184,P1222,Home Goods,5460.78,0,2025-10-27,5,COD,0,
O10250,C2118,P1098,Footwear,1981.05,10,2025-04-12,6,UPI,1,Uncomfortable fit
O10251,C2256,P1118,Apparel,1958.58,10,2025-01-23,3,card,0,
O10252,C2156,P1086,Footwear,5179.41,5,2025-06-10,7,UPI,0,
O10253,C2256,P1071,Footwear,573.49,20,2025-09-21,4,COD,0,
O10254,C2417,P1008,Electronics,10548.91,25,2025-10-14,4,UPI,1,Changed my mind after purchase
O10255,C2195,P1134,Apparel,940.69,30,2025-08-21,6,UPI,0,
O10256,C2218,P1080,Footwear,925.67,25,2025-12-04,3,wallet,0,
O10257,C2350,P1205,Home Goods,11080.01,0,2025-05-22,4,card,0,
O10258,C2268,P1035,Electronics,29228.26,5,2025-05-29,2,card,1,Did not match product description
O10259,C2368,P1031,Electronics,38340.73,0,2025-05-30,2,wallet,0,
O10260,C2211,P1106,Footwear,3533.51,0,2025-10-08,5,card,1,Sole started peeling within a week
O10261,C2315,P1069,Electronics,2050.0,10,2025-08-25,5,UPI,0,
O10262,C2013,P1092,Footwear,2126.22,0,2026-05-04,7,UPI,0,
O10263,C2094,P1219,Home Goods,9329.83,5,2026-05-01,7,card,0,
O10264,C2016,P1105,Footwear,4232.4,15,2025-01-16,9,card,0,
O10265,C2103,P1194,Home Goods,12074.52,0,2025-07-01,2,COD,0,
O10266,C2443,P1158,Apparel,2039.17,5,2025-11-29,7,UPI,0,
O10267,C2311,P1189,Home Goods,5927.85,20,2025-11-17,1,UPI,0,
O10268,C2292,P1153,Apparel,2001.45,10,2025-02-09,2,COD,1,Fabric quality not as described
O10269,C2265,P1138,Apparel,3916.47,5,2025-02-10,4,UPI,0,
O10270,C2322,P1013,Electronics,3247.54,0,2026-03-27,2,COD,0,
O10271,C2216,P1076,Footwear,4850.92,10,2025-02-25,5,wallet,0,
O10272,C2237,P1213,Home Goods,9941.5,10,2025-04-03,4,COD,0,
O10273,C2356,P1140,Apparel,1664.71,0,2026-02-28,3,card,1,Item didn't fit as expected
O10274,C2302,P1183,Home Goods,5326.93,25,2026-04-11,6,UPI,0,
O10275,C2083,P1184,Home Goods,847.31,15,2025-04-04,5,card,0,
O10276,C2185,P1022,Electronics,28465.57,10,2026-01-29,3,UPI,1,Did not match product description
O10277,C2194,P1012,Electronics,26381.28,15,2025-12-10,1,UPI,0,
O10278,C2076,P1042,Electronics,20714.37,20,2025-07-03,4,card,0,
O10279,C2228,P1074,Footwear,4168.98,10,2025-05-01,3,COD,0,
O10280,C2001,P1160,Apparel,4065.4,15,2025-01-13,1,UPI,1,Item didn't fit as expected
O10281,C2121,P1056,Electronics,11956.84,10,2026-05-03,5,UPI,0,
O10282,C2307,P1154,Apparel,4070.05,0,2025-10-12,2,COD,1,Fabric quality not as described
O10283,C2028,P1168,Home Goods,3481.16,0,2025-05-29,2,COD,0,
O10284,C2429,P1155,Apparel,3901.19,0,2025-03-31,6,card,0,
O10285,C2312,P1170,Home Goods,7363.01,15,2025-07-01,5,netbanking,0,
O10286,C2184,P1010,Electronics,6602.29,0,2025-11-03,2,COD,0,
O10287,C2431,P1141,Apparel,1507.45,0,2026-04-28,8,card,0,
O10288,C2140,P1085,Footwear,5765.68,10,2026-06-22,4,card,0,
O10289,C2322,P1136,Apparel,3429.53,30,2026-05-11,5,wallet,0,
O10290,C2403,P1181,Home Goods,2249.16,0,2025-11-21,4,UPI,0,
O10291,C2314,P1145,Apparel,2797.02,5,2026-05-25,7,UPI,0,
O10292,C2312,P1060,Electronics,4151.53,15,2025-07-18,4,UPI,1,Received a different model than ordered
O10293,C2409,P1158,Apparel,1502.54,30,2026-02-28,4,card,0,
O10294,C2412,P1164,Home Goods,1719.29,0,2025-07-26,3,card,0,
O10295,C2281,P1083,Footwear,3677.34,15,2025-04-27,2,wallet,0,
O10296,C2370,P1146,Apparel,3519.41,10,2025-01-30,5,COD,0,
O10297,C2245,P1122,Apparel,388.89,20,2025-05-20,3,UPI,0,
O10298,C2442,P1138,Apparel,3091.95,25,2026-04-19,4,wallet,0,
O10299,C2153,P1145,Apparel,2502.6,15,2025-11-20,2,UPI,1,Changed my mind after purchase
O10300,C2350,P1085,Footwear,5125.05,20,2025-12-29,5,COD,0,
O10301,C2192,P1161,Apparel,2218.24,10,2025-06-19,5,UPI,0,
O10302,C2304,P1030,Electronics,8552.5,20,2025-11-12,3,card,0,
O10303,C2254,P1061,Electronics,25060.0,5,2025-11-06,2,card,0,
O10304,C2057,P1096,Footwear,2557.33,20,2025-07-26,6,card,0,
O10305,C2256,P1040,Electronics,35812.79,0,2026-05-11,3,wallet,0,
O10306,C2397,P1084,Footwear,3443.76,0,2025-04-11,6,wallet,1,Wrong size received
O10307,C2235,P1100,Footwear,4816.68,15,2026-06-19,1,card,0,
O10308,C2022,P1176,Home Goods,5346.35,20,2025-03-31,2,card,0,
O10309,C2381,P1080,Footwear,1234.23,0,2025-11-16,8,UPI,1,Uncomfortable fit
O10310,C2098,P1074,Footwear,4632.2,0,2025-11-23,4,card,0,
O10311,C2058,P1004,Electronics,27974.84,30,2026-06-11,1,card,0,
O10312,C2281,P1082,Footwear,2766.17,0,2025-10-18,3,card,0,
O10313,C2276,P1114,Footwear,2668.27,0,2025-01-30,3,UPI,0,
O10314,C2054,P1099,Footwear,1879.08,0,2026-03-13,1,COD,0,
O10315,C2353,P1180,Home Goods,12265.21,5,2025-12-31,6,card,0,
O10316,C2365,P1195,Home Goods,1706.98,15,2025-03-22,8,UPI,1,Stopped working after light use
O10317,C2049,P1117,Apparel,436.62,0,2026-04-22,3,UPI,0,
O10318,C2073,P1221,Home Goods,8617.99,25,2025-09-22,6,wallet,0,
O10319,C2403,P1221,Home Goods,8617.99,25,2026-04-10,3,UPI,1,Item arrived damaged
O10320,C2179,P1123,Apparel,1750.15,5,2025-06-24,4,UPI,0,
O10321,C2207,P1210,Home Goods,3810.52,15,2025-04-20,6,card,0,
O10322,C2405,P1078,Footwear,4108.06,10,2026-02-15,3,card,0,
O10323,C2246,P1099,Footwear,1879.08,0,2025-08-02,3,COD,0,
O10324,C2401,P1112,Footwear,1599.8,10,2025-12-17,2,wallet,1,Sole started peeling within a week
O10325,C2428,P1125,Apparel,592.51,0,2026-04-20,4,card,1,Item didn't fit as expected
O10326,C2090,P1079,Footwear,3756.98,30,2025-03-13,1,UPI,0,
O10327,C2167,P1127,Apparel,3062.08,10,2025-03-04,2,card,0,
O10328,C2297,P1194,Home Goods,10867.07,10,2025-01-01,4,UPI,0,
O10329,C2315,P1148,Apparel,2692.6,5,2025-07-30,1,wallet,0,
O10330,C2291,P1204,Home Goods,2555.09,25,2025-11-08,9,wallet,0,
O10331,C2045,P1150,Apparel,3328.04,0,2026-06-07,1,UPI,1,Color faded after first wash
O10332,C2031,P1095,Footwear,4521.09,25,2025-02-24,7,netbanking,1,Material quality lower than expected
O10333,C2443,P1008,Electronics,14065.21,0,2026-02-08,4,UPI,0,
O10334,C2207,P1098,Footwear,2091.11,5,2025-08-05,3,card,0,
O10335,C2184,P1216,Home Goods,980.83,5,2025-10-23,2,netbanking,0,
O10336,C2068,P1003,Electronics,12755.34,0,2025-01-17,7,wallet,0,
O10337,C2069,P1022,Electronics,31628.41,0,2026-03-02,8,COD,0,
O10338,C2356,P1155,Apparel,2925.89,25,2025-07-04,2,COD,0,
O10339,C2115,P1048,Electronics,3982.33,5,2025-01-08,5,UPI,0,
